player_name_fbref,club,league,position,position_group,age,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score_z,matching_confidence,expected_upside,portfolio_value_score,portfolio_cost,is_eligible_portfolio,expected_roi,matching_confidence_norm,risk_proxy,roi_score_norm,optimization_score,scenario,budget,max_signings,solver_status,budget_utilization,grid_scenario,grid_budget,grid_elapsed_seconds
Pablo,Gil Vicente FC,Liga Portugal,FW,ATT,21.744010951403148,1500000.0,14982688.611168023,13482688.611168023,5.0,2.361008690955276,0.85,13482688.611168023,95.3607543528196,1500000.0,True,8.988459074112015,85.0,15.0,68.84108201236538,86.07886903366062,balanced,50000000,6,Optimal,0.722,balanced,50000000,0.11636680015362799
Kareem Tunde,Levante,LaLiga,MF,MID,20.418891170431213,500000.0,4058313.2922581015,3558313.292258101,5.0,2.361008690955276,0.85,3558313.292258101,93.46049752103364,500000.0,True,7.116626584516202,85.0,15.0,55.87884728775951,80.3069199393877,balanced,50000000,6,Optimal,0.722,balanced,50000000,0.11636680015362799
Ousmane Camara,Angers,Ligue 1,DF,DEF,22.598220396988363,1000000.0,6220258.354835828,5220258.354835828,5.0,2.3208829607210006,0.85,5220258.354835828,94.1534520037707,1000000.0,True,5.220258354835828,85.0,15.0,42.74670525366642,76.1610906412342,balanced,50000000,6,Optimal,0.722,balanced,50000000,0.11636680015362799
Mateus Fernandes,West Ham United,Premier League,MF,MID,21.270362765229294,32000000.0,46850395.10417414,14850395.104174135,0.4640748470054417,0.6691261547606671,0.85,14850395.104174135,78.14714728855878,32000000.0,True,0.4640748470054417,85.0,15.0,9.810656026788697,54.22937534693926,balanced,50000000,6,Optimal,0.722,balanced,50000000,0.11636680015362799
Ayoube Amaimouni Echghouyab,Eintracht Frankfurt,Bundesliga,"MF,FW",MID,20.85968514715948,500000.0,7244006.534196417,6744006.534196417,5.0,2.361008690955276,1.0,6744006.534196417,96.3266478623314,500000.0,True,13.488013068392833,100.0,0.0,100.0,97.61232111051541,balanced,75000000,7,Optimal,0.7413333333333333,balanced,75000000,0.11720849992707372
Pedro Santos,Famalicão,Liga Portugal,MF,MID,22.85284052019165,600000.0,7391483.374145665,6791483.374145665,5.0,2.361008690955276,0.85,6791483.374145665,94.88046490164798,600000.0,True,11.319138956909441,85.0,15.0,84.98078461751709,91.41557680220217,balanced,75000000,7,Optimal,0.7413333333333333,balanced,75000000,0.11720849992707372
Pablo,Gil Vicente FC,Liga Portugal,FW,ATT,21.744010951403148,1500000.0,14982688.611168023,13482688.611168023,5.0,2.361008690955276,0.85,13482688.611168023,95.3607543528196,1500000.0,True,8.988459074112015,85.0,15.0,68.84108201236538,86.07886903366062,balanced,75000000,7,Optimal,0.7413333333333333,balanced,75000000,0.11720849992707372
Kareem Tunde,Levante,LaLiga,MF,MID,20.418891170431213,500000.0,4058313.2922581015,3558313.292258101,5.0,2.361008690955276,0.85,3558313.292258101,93.46049752103364,500000.0,True,7.116626584516202,85.0,15.0,55.87884728775951,80.3069199393877,balanced,75000000,7,Optimal,0.7413333333333333,balanced,75000000,0.11720849992707372
Pablo,West Ham United,Premier League,"MF,FW",MID,21.744010951403148,1500000.0,10456423.118064376,8956423.118064377,5.0,2.361008690955276,0.85,8956423.118064376,94.73583548881884,1500000.0,True,5.97094874537625,85.0,15.0,47.94515388717216,78.35909692824251,balanced,75000000,7,Optimal,0.7413333333333333,balanced,75000000,0.11720849992707372
Ousmane Camara,Angers,Ligue 1,DF,DEF,22.598220396988363,1000000.0,6220258.354835828,5220258.354835828,5.0,2.3208829607210006,0.85,5220258.354835828,94.1534520037707,1000000.0,True,5.220258354835828,85.0,15.0,42.74670525366642,76.1610906412342,balanced,75000000,7,Optimal,0.7413333333333333,balanced,75000000,0.11720849992707372
Rayan Cherki,Manchester City,Premier League,MF,MID,22.313483915126625,50000000.0,54493882.19337354,4493882.193373539,0.0898776438674707,0.3321059129162132,0.85,4493882.193373539,73.70572616979082,50000000.0,True,0.08987764386747077,85.0,15.0,7.219381429662347,50.435505510745855,balanced,75000000,7,Optimal,0.7413333333333333,balanced,75000000,0.11720849992707372
Ayoube Amaimouni Echghouyab,Eintracht Frankfurt,Bundesliga,"MF,FW",MID,20.85968514715948,500000.0,7244006.534196417,6744006.534196417,5.0,2.361008690955276,1.0,6744006.534196417,96.3266478623314,500000.0,True,13.488013068392833,100.0,0.0,100.0,97.61232111051541,balanced,100000000,8,Optimal,0.701,balanced,100000000,0.11399829993024468
Pedro Santos,Famalicão,Liga Portugal,MF,MID,22.85284052019165,600000.0,7391483.374145665,6791483.374145665,5.0,2.361008690955276,0.85,6791483.374145665,94.88046490164798,600000.0,True,11.319138956909441,85.0,15.0,84.98078461751709,91.41557680220217,balanced,100000000,8,Optimal,0.701,balanced,100000000,0.11399829993024468
Pablo,Gil Vicente FC,Liga Portugal,FW,ATT,21.744010951403148,1500000.0,14982688.611168023,13482688.611168023,5.0,2.361008690955276,0.85,13482688.611168023,95.3607543528196,1500000.0,True,8.988459074112015,85.0,15.0,68.84108201236538,86.07886903366062,balanced,100000000,8,Optimal,0.701,balanced,100000000,0.11399829993024468
Kareem Tunde,Levante,LaLiga,MF,MID,20.418891170431213,500000.0,4058313.2922581015,3558313.292258101,5.0,2.361008690955276,0.85,3558313.292258101,93.46049752103364,500000.0,True,7.116626584516202,85.0,15.0,55.87884728775951,80.3069199393877,balanced,100000000,8,Optimal,0.701,balanced,100000000,0.11399829993024468
Pablo,West Ham United,Premier League,"MF,FW",MID,21.744010951403148,1500000.0,10456423.118064376,8956423.118064377,5.0,2.361008690955276,0.85,8956423.118064376,94.73583548881884,1500000.0,True,5.97094874537625,85.0,15.0,47.94515388717216,78.35909692824251,balanced,100000000,8,Optimal,0.701,balanced,100000000,0.11399829993024468
Basar Onal,NEC Nijmegen,Eredivisie,MF,MID,21.240246406570844,1000000.0,6944850.446795569,5944850.446795569,5.0,2.361008690955276,0.85,5944850.446795569,94.11853687758811,1000000.0,True,5.944850446795569,85.0,15.0,47.76442603145004,77.8945980814398,balanced,100000000,8,Optimal,0.701,balanced,100000000,0.11399829993024468
Filippo Terracciano,Cremonese,Serie A,DF,DEF,22.87200547570157,4500000.0,24042844.878461286,19542844.878461286,4.342854417435841,2.14726618361751,0.85,19542844.878461286,94.47406079480832,4500000.0,True,4.342854417435841,85.0,15.0,36.67077920361275,74.24291223788987,balanced,100000000,8,Optimal,0.701,balanced,100000000,0.11399829993024468
Xavi Simons,Tottenham Hotspur,Premier League,"MF,FW",MID,22.63655030800821,60000000.0,35446036.52367566,-24553963.476324342,-0.4092327246054057,-0.3671488521671793,1.0,-24553963.476324342,64.96034000223763,60000000.0,True,-0.4092327246054057,100.0,0.0,3.763096860615822,43.54130490267,balanced,100000000,8,Optimal,0.701,balanced,100000000,0.11399829993024468
Ayoube Amaimouni Echghouyab,Eintracht Frankfurt,Bundesliga,"MF,FW",MID,20.85968514715948,500000.0,7244006.534196417,6744006.534196417,5.0,2.361008690955276,1.0,6744006.534196417,96.3266478623314,500000.0,True,13.488013068392833,100.0,0.0,100.0,98.1633239311657,aggressive,10000000,4,Optimal,0.71,aggressive,10000000,0.08459069998934865
Pedro Santos,Famalicão,Liga Portugal,MF,MID,22.85284052019165,600000.0,7391483.374145665,6791483.374145665,5.0,2.361008690955276,0.85,6791483.374145665,94.88046490164798,600000.0,True,11.319138956909441,85.0,15.0,84.8989098308935,89.88968736627075,aggressive,10000000,4,Optimal,0.71,aggressive,10000000,0.08459069998934865
Pablo,Gil Vicente FC,Liga Portugal,FW,ATT,21.744010951403148,1500000.0,14982688.611168023,13482688.611168023,5.0,2.361008690955276,0.85,13482688.611168023,95.3607543528196,1500000.0,True,8.988459074112015,85.0,15.0,68.67122428699881,82.01598931990921,aggressive,10000000,4,Optimal,0.71,aggressive,10000000,0.08459069998934865
Filippo Terracciano,Cremonese,Serie A,DF,DEF,22.87200547570157,4500000.0,24042844.878461286,19542844.878461286,4.342854417435841,2.14726618361751,0.85,19542844.878461286,94.47406079480832,4500000.0,True,4.342854417435841,85.0,15.0,36.325550354588486,65.3998055746984,aggressive,10000000,4,Optimal,0.71,aggressive,10000000,0.08459069998934865
Ayoube Amaimouni Echghouyab,Eintracht Frankfurt,Bundesliga,"MF,FW",MID,20.85968514715948,500000.0,7244006.534196417,6744006.534196417,5.0,2.361008690955276,1.0,6744006.534196417,96.3266478623314,500000.0,True,13.488013068392833,100.0,0.0,100.0,98.1633239311657,aggressive,20000000,5,Optimal,0.705,aggressive,20000000,0.11129179992713034
Pedro Santos,Famalicão,Liga Portugal,MF,MID,22.85284052019165,600000.0,7391483.374145665,6791483.374145665,5.0,2.361008690955276,0.85,6791483.374145665,94.88046490164798,600000.0,True,11.319138956909441,85.0,15.0,84.9495808308625,89.91502286625524,aggressive,20000000,5,Optimal,0.705,aggressive,20000000,0.11129179992713034
