role_subgroup,archetype_id,rank,player,team,league,season,pos_,age_,minutes,archetype_similarity,progressive_passes_p90,pass_completion_pct,long_pass_completion_pct,passes_final_third_p90,blocks_p90,clearances_p90,interceptions_p90,tackles_p90,tackles_won_p90,aerials_won_p90,aerials_won_pct,duel_index_role,defending_index_role,errors_p90,recoveries_p90,progressive_carries_p90,progressive_receipts_p90,key_passes_p90,sca_p90,gca_p90,gca_live_p90,passes_penalty_area_p90,touches_att_third_p90,touches_box_p90,takeons_attempted_p90,takeons_success_pct,creation_index_role,progression_index_role,xg_p90,shots_p90,sot_p90,g_per_shot,g_per_sot,shot_distance,carries_box_p90,finishing_index_role
DEF_CB,1,16,Adam Smith,Bournemouth,ENG-Premier League,1920,DF,28.0,2055,86.1,4.078947368421052,79.2,38.7,2.631578947368421,1.1842105263157894,2.807017543859649,1.0964912280701753,2.06140350877193,1.4035087719298245,1.4912280701754386,54.8,34.463742690058474,2.236842105263158,0.043859649122807015,4.035087719298246,,,,,,,,,,,,,,,,,,,,,
DEF_CB,1,17,Bartosz Bereszyński,Sampdoria,ITA-Serie A,2021,DF,28.0,2607,85.9,3.5517241379310347,80.4,49.6,2.6206896551724137,1.3793103448275863,3.0344827586206895,1.4482758620689655,2.2758620689655173,1.5172413793103448,0.9655172413793104,45.9,33.788505747126436,2.6758620689655173,0.0,5.241379310344827,,,,,,,,,,,,,,,,,,,,,
DEF_CB,1,18,Liberato Cacace,Empoli,ITA-Serie A,2324,DF,22.0,1912,85.9,3.9622641509433962,75.0,40.3,3.160377358490566,1.0849056603773586,2.6415094339622645,0.8962264150943396,1.8867924528301887,1.1320754716981132,0.8018867924528302,43.6,29.267295597484278,2.4245283018867925,0.0,5.613207547169812,,,,,,,,,,,,,,,,,,,,,
DEF_CB,1,19,Timothy Castagne,Leicester City,ENG-Premier League,2223,DF,26.0,3254,85.9,2.9281767955801103,80.1,45.5,2.458563535911602,1.3812154696132595,3.038674033149171,1.1878453038674033,2.4033149171270716,1.2154696132596685,1.5193370165745854,47.0,29.073112338858195,2.7182320441988947,0.0,5.580110497237569,,,,,,,,,,,,,,,,,,,,,
DEF_CB,1,20,Akim Zedadka,Auxerre,FRA-Ligue 1,2223,DF,27.0,1599,85.8,2.8651685393258424,76.8,48.3,1.9662921348314606,0.9550561797752809,2.8651685393258424,1.2921348314606742,1.9662921348314606,1.1797752808988764,1.348314606741573,51.1,26.04943820224719,2.4831460674157304,0.056179775280898875,5.337078651685393,,,,,,,,,,,,,,,,,,,,,
DEF_CB,2,1,Jarrad Branthwaite,Everton,ENG-Premier League,2324,DF,21.0,3116,82.5,2.138728323699422,79.8,54.2,1.7341040462427746,1.4739884393063583,4.710982658959537,1.445086705202312,1.9075144508670518,0.9248554913294798,2.7167630057803467,68.6,44.605587668593444,2.953757225433526,0.057803468208092484,5.231213872832369,,,,,,,,,,,,,,,,,,,,,
DEF_CB,2,2,Joakim Nilsson,Arminia,GER-Bundesliga,2122,DF,27.0,2735,82.3,2.236842105263158,80.0,55.6,2.1052631578947367,1.1842105263157896,4.703947368421053,1.842105263157895,1.2171052631578947,0.625,2.598684210526316,55.6,41.632894736842104,2.763157894736842,0.03289473684210526,4.868421052631579,,,,,,,,,,,,,,,,,,,,,
DEF_CB,2,3,Jorge Meré,Köln,GER-Bundesliga,1718,DF,20.0,1890,82.1,3.3333333333333335,84.3,70.5,2.5238095238095237,1.1904761904761905,5.238095238095238,1.619047619047619,1.619047619047619,1.0952380952380953,2.0952380952380953,55.7,44.265079365079366,2.885714285714286,0.047619047619047616,4.761904761904762,,,,,,,,,,,,,,,,,,,,,
DEF_CB,2,4,Moussa Niakhate,Mainz 05,GER-Bundesliga,1819,DF,22.0,2789,81.3,2.3548387096774195,82.1,65.3,2.161290322580645,1.3548387096774193,4.612903225806452,1.4193548387096775,1.5806451612903225,0.967741935483871,2.2580645161290325,58.8,49.98602150537635,3.0,0.03225806451612903,6.032258064516129,,,,,,,,,,,,,,,,,,,,,
DEF_CB,2,5,Rúben Vezo,Levante,ESP-La Liga,1920,DF,25.0,2610,81.3,2.5517241379310347,80.1,65.2,2.413793103448276,1.2758620689655173,4.9655172413793105,1.4482758620689655,1.4137931034482758,0.8275862068965517,2.8620689655172415,68.0,52.78735632183908,2.655172413793103,0.06896551724137931,4.172413793103448,,,,,,,,,,,,,,,,,,,,,
DEF_CB,2,6,Rafa Marín,Alavés,ESP-La Liga,2324,DF,21.0,2443,81.1,2.8413284132841325,82.5,60.2,2.6199261992619927,1.2546125461254611,4.760147601476015,1.2177121771217712,1.1808118081180812,0.7380073800738007,2.066420664206642,56.6,39.55547355473555,2.5461254612546123,0.07380073800738007,4.317343173431734,,,,,,,,,,,,,,,,,,,,,
DEF_CB,2,7,Sebastiaan Bornauw,Köln,GER-Bundesliga,1920,DF,20.0,2447,81.0,2.794117647058824,80.8,58.5,1.9485294117647058,1.1764705882352942,3.639705882352941,1.5441176470588236,1.3602941176470589,0.8823529411764706,2.610294117647059,60.2,47.13676470588235,2.6323529411764706,0.0,5.4411764705882355,,,,,,,,,,,,,,,,,,,,,
