player_name_fbref,club,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score_z,growth_score,confidence_score,opportunity_score,opportunity_tier,matching_confidence,matching_method,risk_age_component,risk_minutes_component,risk_confidence_component,risk_gap_component,risk_score_raw,risk_score,risk_level,risk_adjusted_opportunity_score
Rabby Nzingoula,Montpellier,Ligue 1,2024-2025,MID,18.86652977412731,1689,1500000.0,5197869.67799458,3697869.67799458,2.4652464519963866,1.4216817412197726,58.50465908109023,89.50833333333334,85.50098253506945,target_scouting,1.0,exact_age_club_validated,35,25,10.49166666666666,15,21.65,82.0,Muy alto,15.39
Gerard Martín,Barcelona,LaLiga,2024-2025,DEF,22.622861054072555,1038,3000000.0,11380779.975228157,8380779.975228155,2.793593325076052,1.5166660680336663,75.66410887790562,71.60000000000002,85.20835118965705,target_scouting,0.85,exact_age_validated,15,45,28.399999999999977,15,28.02,96.0,Muy alto,3.41
Luca Marianucci,Empoli,Serie A,2024-2025,DEF,20.40520191649555,1069,800000.0,5126850.54394525,4326850.54394525,5.0,2.0667860330830057,55.26108947219535,72.2027777777778,85.18238802964729,target_scouting,0.85,exact_age_validated,15,45,27.797222222222203,15,27.84,89.0,Muy alto,9.37
Saba Goglichidze,Empoli,Serie A,2024-2025,DEF,20.314852840520192,2539,5000000.0,6167571.15925156,1167571.1592515605,0.2335142318503121,0.3379418723633808,100.0,86.41666666666667,85.18059901325708,target_scouting,0.85,exact_age_validated,15,10,13.583333333333329,15,13.08,21.5,Bajo,66.87
Erick Nunes,Cercle Brugge,Belgian Pro League,2024-2025,MID,20.591375770020534,1805,500000.0,1847580.3154461968,1347580.3154461966,2.695160630892393,1.4890828693281906,58.504578984604,86.41666666666667,85.00982812071524,target_scouting,0.85,exact_age_validated,15,25,13.583333333333329,15,17.58,56.0,Alto,37.4
Mikel Jauregizar,Athletic Club,LaLiga,2024-2025,MID,20.91170431211499,2244,3000000.0,12118592.242746295,9118592.242746295,3.039530747582099,1.5825716476729712,48.6491744011978,91.66666666666669,84.90376925333075,target_scouting,1.0,exact_age_club_validated,15,10,8.333333333333314,15,11.5,4.5,Bajo,81.08
Roberto Férnandez,Espanyol,LaLiga,2024-2025,ATT,22.26694045174538,1497,3500000.0,12465307.519300872,8965307.519300872,2.561516434085964,1.450432715929285,63.708139846706025,82.19166666666666,84.54689666972338,target_scouting,0.85,exact_age_validated,15,25,17.808333333333337,15,18.84,63.0,Alto,31.28
Erick Nunes,Cercle Brugge,Belgian Pro League,2024-2025,MID,20.591375770020534,1805,500000.0,1754786.0778077035,1254786.0778077035,2.509572155615407,1.4350175197020896,58.504578984604,86.41666666666667,84.26690904698326,target_scouting,0.85,exact_age_validated,15,25,13.583333333333329,15,17.58,56.0,Alto,37.08
Rabby Nzingoula,Montpellier,Ligue 1,2024-2025,MID,18.86652977412731,1689,1500000.0,4734655.935905788,3234655.935905788,2.1564372906038587,1.3237492739765686,58.50465908109023,89.50833333333334,84.15527963375156,target_scouting,1.0,exact_age_club_validated,35,25,10.49166666666666,15,21.65,82.0,Muy alto,15.15
Mikel Jauregizar,Athletic Club,LaLiga,2024-2025,MID,20.91170431211499,2244,3000000.0,11494130.904575478,8494130.904575478,2.831376968191826,1.5270642888177692,48.6491744011978,91.66666666666669,84.14103534129278,target_scouting,1.0,exact_age_club_validated,15,10,8.333333333333314,15,11.5,4.5,Bajo,80.35
Alex Padilla,Athletic Club,LaLiga,2024-2025,GK,21.111567419575632,321,2000000.0,7328197.165735638,5328197.165735638,2.664098582867819,1.480225834121672,84.40320646620087,62.90833333333335,84.09045393778106,target_scouting,1.0,exact_age_club_validated,15,70,37.09166666666665,15,38.13,100.0,Muy alto,0.0
Mikel Jauregizar,Athletic Club,LaLiga,2024-2025,MID,20.91170431211499,2244,3000000.0,11397789.355041085,8397789.355041085,2.7992631183470285,1.5182330064255998,48.6491744011978,91.66666666666669,84.0196835294571,target_scouting,1.0,exact_age_club_validated,15,10,8.333333333333314,15,11.5,4.5,Bajo,80.24
Gerard Martín,Barcelona,LaLiga,2024-2025,DEF,22.622861054072555,1038,3000000.0,10290525.510841733,7290525.510841731,2.430175170280577,1.4110087939958404,75.66410887790562,71.60000000000002,83.7565007030871,target_scouting,0.85,exact_age_validated,15,45,28.399999999999977,15,28.02,96.0,Muy alto,3.35
Luca Marianucci,Empoli,Serie A,2024-2025,DEF,20.40520191649555,1069,800000.0,4607838.108996854,3807838.108996854,4.759797636246068,1.9548016363470784,55.26108947219535,72.2027777777778,83.64359571865985,target_scouting,0.85,exact_age_validated,15,45,27.797222222222203,15,27.84,89.0,Muy alto,9.2
Lukas Ullrich,Gladbach,Bundesliga,2024-2025,DEF,20.76386036960985,1903,3000000.0,12404042.385859596,9404042.385859596,3.134680795286532,1.606998784168597,50.72543445925041,86.41666666666667,83.63271591746695,target_scouting,0.85,exact_age_validated,15,25,13.583333333333329,15,17.58,56.0,Alto,36.8
Lukas Ullrich,Gladbach,Bundesliga,2024-2025,DEF,20.76386036960985,1903,3000000.0,12373375.582204737,9373375.582204737,3.124458527401579,1.6044016015196836,50.72543445925041,86.41666666666667,83.59702768940244,target_scouting,0.85,exact_age_validated,15,25,13.583333333333329,15,17.58,56.0,Alto,36.78
