path,suffix,rows,columns,read_seconds,memory_mb,error
reports\model_diagnostics\ranking_summary.csv,.csv,6.0,12.0,0.013977,0.001,
reports\tables\01_temporal_split_summary.csv,.csv,3.0,4.0,0.013956,0.001,
reports\sprint_13b\fbref_advanced_feature_engineering_audit.csv,.csv,11.0,4.0,0.013833,0.001,
reports\sprint_13b\econometric\correlation_advanced_features.csv,.csv,3.0,4.0,0.013782,0.0,
reports\sprint_13b\ml\ml_model_comparison_v13b.csv,.csv,8.0,16.0,0.013747,0.003,
reports\data_quality\current_snapshot_apply\contract_intelligence_dataset_current_snapshot_apply_audit.csv,.csv,1.0,10.0,0.013692,0.001,
reports\sprint_13b\econometric\03_vif_table.csv,.csv,20.0,2.0,0.013515,0.002,
reports\rankings\ols_undervalued.csv,.csv,25.0,61.0,0.013507,0.038,
reports\rankings\scouting_shortlist_with_risk.csv,.csv,100.0,26.0,0.013479,0.066,
reports\sprint_13b\productive\rankings\top_low_risk.csv,.csv,50.0,18.0,0.013413,0.028,
reports\rankings\scoring_league_distribution.csv,.csv,11.0,5.0,0.013251,0.001,
reports\performance\dataset_read_times.csv,.csv,83.0,5.0,0.013221,0.011,
reports\tables\01_match_rate_by_league.csv,.csv,7.0,4.0,0.013156,0.001,
reports\data_quality\sprint_13a_matching_by_league_season.csv,.csv,77.0,6.0,0.012944,0.013,
reports\tables\02_baseline_model_metrics.csv,.csv,8.0,5.0,0.012852,0.001,
reports\data_quality\tm6_5_14\market_value_consistency_audit.csv,.csv,20.0,12.0,0.012818,0.004,
reports\visual_identity\tm6_9_top60_players.csv,.csv,60.0,12.0,0.012677,0.032,
reports\roles\role_feature_coverage_advanced.csv,.csv,45.0,3.0,0.012553,0.004,
reports\portfolio\portfolio_candidates.parquet,.parquet,68.0,29.0,0.01255,0.042,
reports\model_diagnostics\ranking_by_league.csv,.csv,7.0,22.0,0.012532,0.002,
reports\assets\missing_club_crests_urls_template.csv,.csv,746.0,7.0,0.012472,0.393,
data\processed\player_role_intelligence.parquet,.parquet,4298.0,12.0,0.012465,1.639,
reports\data_quality\tm41_module_dataset_map.csv,.csv,33.0,9.0,0.012391,0.015,
reports\roles\archetype_cluster_summary.csv,.csv,3.0,11.0,0.012344,0.002,
reports\sprint_13a1\ml\predictions\04_ml_test_predictions_v13a1.parquet,.parquet,776.0,23.0,0.012337,0.468,
reports\data_quality\tm7_player_view_model_audit.csv,.csv,9.0,16.0,0.012276,0.006,
reports\roles\role_feature_dataset_summary.csv,.csv,4.0,4.0,0.01227,0.0,
reports\visual_identity\tm6_9_top30_players.csv,.csv,30.0,12.0,0.012185,0.016,
reports\tables\explainability\shap_global_importance.csv,.csv,34.0,2.0,0.012182,0.003,
reports\tables\03_econometric_model_metrics.csv,.csv,6.0,2.0,0.012158,0.001,
reports\evaluation\precision_at_k.csv,.csv,4.0,4.0,0.012105,0.0,
reports\roles\archetype_cluster_selection.csv,.csv,18.0,5.0,0.012088,0.002,
reports\sprint_13b\ml\ml_success_criteria_v13b.csv,.csv,5.0,3.0,0.012034,0.0,
reports\visual_identity\tm6_9a_club_crests_download_report.csv,.csv,174.0,5.0,0.01201,0.059,
reports\sprint_13b\productive\03_undervalued_ranking.csv,.csv,50.0,23.0,0.011954,0.03,
reports\data_quality\sprint_13a_matching_by_league.csv,.csv,11.0,5.0,0.011925,0.001,
reports\sprint_13b\econometric\03_main_coefficients_advanced_features.csv,.csv,7.0,6.0,0.011862,0.001,
reports\roles\position_taxonomy_representatives_v2b.csv,.csv,105.0,11.0,0.011856,0.032,
reports\visual_identity\tm6_9_top50_market_value_image_audit.csv,.csv,50.0,15.0,0.011849,0.021,
