import time: self [us] | cumulative | imported package
import time:       673 |        673 |       pandas.core.reshape.encoding
import time:      1125 |       1125 |       pandas.core.reshape.merge
import time:      1214 |       1214 |       pandas.core.reshape.pivot
import time:       702 |        702 |       pandas.core.reshape.tile
import time:       949 |       4661 |     pandas.core.reshape.api
import time:       999 |        999 |       pandas.api.extensions
import time:      1879 |       1879 |       pandas.api.indexers
import time:      2461 |       2461 |           pandas.core.interchange
import time:      2540 |       5001 |         pandas.core.interchange.dataframe_protocol
import time:      1769 |       1769 |           pandas.core.interchange.utils
import time:      1598 |       3366 |         pandas.core.interchange.from_dataframe
import time:      1153 |       9518 |       pandas.api.interchange
import time:       704 |        704 |         pandas.core.dtypes.api
import time:       875 |       1578 |       pandas.api.types
import time:      1980 |       1980 |         pandas.core.resample
import time:       625 |        625 |               pandas._libs.json
import time:       639 |        639 |               pandas.io.json._normalize
import time:       613 |        613 |               pandas.io.json._table_schema
import time:      1231 |       1231 |                     pandas._libs.parsers
import time:      1002 |       1002 |                       pandas.io.parsers.base_parser
import time:       659 |       1661 |                     pandas.io.parsers.arrow_parser_wrapper
import time:       713 |        713 |                     pandas.io.parsers.c_parser_wrapper
import time:       860 |        860 |                     pandas.io.parsers.python_parser
import time:      2654 |       7117 |                   pandas.io.parsers.readers
import time:       673 |       7790 |                 pandas.io.parsers
import time:        22 |       7811 |               pandas.io.parsers.readers
import time:      1613 |      11300 |             pandas.io.json._json
import time:      1026 |      12325 |           pandas.io.json
import time:        25 |      12350 |         pandas.io.json._json
import time:      2073 |       2073 |         pandas.io.stata
import time:       607 |      17009 |       pandas.api.typing
import time:       825 |      31806 |     pandas.api
import time:       996 |        996 |             tempfile
import time:       672 |       1668 |           pandas._testing.contexts
import time:      1781 |       3448 |         pandas._testing._io
import time:       670 |        670 |         pandas._testing._warnings
import time:        56 |         56 |             cmath
import time:       744 |        799 |           pandas._libs.testing
import time:       737 |       1536 |         pandas._testing.asserters
import time:       524 |        524 |         pandas._testing.compat
import time:      1300 |       7477 |       pandas._testing
import time:       610 |       8087 |     pandas.testing
import time:       679 |        679 |     pandas.util._print_versions
import time:       548 |        548 |       pandas.io.clipboards
import time:       596 |        596 |           pandas.io.excel._util
import time:       986 |        986 |           pandas.io.excel._calamine
import time:       697 |        697 |           pandas.io.excel._odfreader
import time:       867 |        867 |           pandas.io.excel._openpyxl
import time:       533 |        533 |           pandas.io.excel._pyxlsb
import time:       662 |        662 |           pandas.io.excel._xlrd
import time:      2092 |       6431 |         pandas.io.excel._base
import time:       764 |        764 |         pandas.io.excel._odswriter
import time:       828 |        828 |         pandas.io.excel._xlsxwriter
import time:       613 |       8634 |       pandas.io.excel
import time:       710 |        710 |       pandas.io.feather_format
import time:       478 |        478 |       pandas.io.gbq
import time:      1160 |       1160 |       pandas.io.html
import time:       771 |        771 |       pandas.io.orc
import time:       874 |        874 |       pandas.io.parquet
import time:       652 |        652 |         pandas.compat.pickle_compat
import time:       764 |       1416 |       pandas.io.pickle
import time:      1393 |       1393 |         pandas.core.computation.pytables
import time:      2619 |       4011 |       pandas.io.pytables
import time:      1119 |       1119 |         pandas.io.sas.sasreader
import time:      2529 |       3647 |       pandas.io.sas
import time:       601 |        601 |       pandas.io.spss
import time:      1241 |       1241 |       pandas.io.sql
import time:      1111 |       1111 |       pandas.io.xml
import time:       843 |      26039 |     pandas.io.api
import time:       744 |        744 |     pandas.util._tester
import time:       535 |        535 |     pandas._version_meson
import time:      1427 |     490579 |   pandas
import time:      2354 |       2354 |         _plotly_utils
import time:       818 |       3172 |       _plotly_utils.importers
import time:      1049 |       1049 |         email
import time:       736 |        736 |             quopri
