player_name_fbref,season,league,club,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,inefficiency_score,matching_confidence
Jeremy Doku,2020-2021,Ligue 1,Rennes,ATT,19.0,2313,22000000.0,11380514.806973476,-10619485.193026524,-0.659139787812201,1.0
Álvaro Carreras,2023-2024,LaLiga,Granada,DEF,21.2,475,7000000.0,3608058.250414023,-3391941.749585977,-0.6627404021920178,1.0
Sebastian Walukiewicz,2021-2022,Serie A,Cagliari,DEF,22.2,302,5000000.0,2575416.0678582964,-2424583.9321417036,-0.6634268116202087,1.0
Ferrán Torres,2021-2022,Premier League,Manchester City,ATT,22.3,303,45000000.0,23171019.689149044,-21828980.310850956,-0.6637601432676874,1.0
Mattia Viti,2022-2023,Ligue 1,Nice,DEF,21.4,634,7000000.0,3596012.1789363977,-3403987.8210636023,-0.6660846456506739,1.0
Jamal Musiala,2020-2021,Bundesliga,Bayern Munich,MID,18.3,881,38000000.0,19494458.330656577,-18505541.669343423,-0.6674559227172523,1.0
Alexis Beka Beka,2022-2023,Ligue 1,Nice,MID,22.2,545,4500000.0,2306300.919593109,-2193699.080406891,-0.6684324892569489,1.0
Ansgar Knauff,2021-2022,Bundesliga,Eintracht Frankfurt,ATT,20.4,759,10000000.0,5113624.388285332,-4886375.611714668,-0.6706766665570534,1.0
Julen Agirrezabala,2022-2023,LaLiga,Athletic Club,GK,22.5,675,5000000.0,2549734.9859501887,-2450265.0140498113,-0.6734484857429166,1.0
Ander Barrenetxea,2020-2021,LaLiga,Real Sociedad,ATT,19.5,1307,15000000.0,7630435.614232412,-7369564.385767588,-0.6759052651377218,1.0
Ilaix Moriba,2021-2022,LaLiga,Valencia,MID,19.4,818,9000000.0,4567972.498721119,-4432027.501278881,-0.6781551254207017,1.0
Arsen Zakharyan,2023-2024,LaLiga,Real Sociedad,MID,21.0,1228,18000000.0,9113655.220930962,-8886344.779069038,-0.6805978953804157,1.0
Éderson,2021-2022,Serie A,Salernitana,MID,22.9,1147,13000000.0,6581830.158751975,-6418169.841248025,-0.6806365111700057,1.0
Sinaly Diomande,2021-2022,Ligue 1,Lyon,DEF,21.1,579,5000000.0,2527973.9076272952,-2472026.0923727048,-0.6820197575527178,1.0
Facundo Pellistri,2020-2021,LaLiga,Alavés,ATT,19.5,542,6000000.0,3027500.3637931007,-2972499.6362068993,-0.6840221526200789,1.0
Nicolás Domínguez,2020-2021,Serie A,Bologna,MID,22.9,1255,10000000.0,5042815.099495413,-4957184.900504587,-0.6846206153554046,1.0
El Chadaille Bitshiabu,2022-2023,Ligue 1,Paris Saint-Germain,DEF,18.1,583,7000000.0,3496024.3191645145,-3503975.6808354855,-0.694283735003463,1.0
Kenneth Taylor,2022-2023,Eredivisie,Ajax,MID,21.1,2497,12000000.0,5981202.337602093,-6018797.662397907,-0.6962850422355924,1.0
Désiré Doué,2022-2023,Ligue 1,Rennes,ATT,18.1,1115,15000000.0,7460214.366263468,-7539785.633736532,-0.6984660518753376,1.0
Xavi Simons,2022-2023,Eredivisie,PSV,MID,20.2,2803,40000000.0,19818195.80152083,-20181804.19847917,-0.7022789585421414,1.0
Lutsharel Geertruida,2020-2021,Eredivisie,Feyenoord,DEF,20.8,2254,8000000.0,3947733.4075121195,-4052266.5924878805,-0.7062999483480237,1.0
João Gomes,2022-2023,Premier League,Wolves,MID,22.3,653,18000000.0,8859629.942003706,-9140370.057996294,-0.7088667614196567,1.0
Karim Adeyemi,2022-2023,Bundesliga,Dortmund,ATT,21.4,1386,40000000.0,19670080.605270527,-20329919.394729473,-0.7097807238428437,1.0
Castello Lukeba,2021-2022,Ligue 1,Lyon,DEF,19.4,2095,20000000.0,9832397.672458312,-10167602.327541688,-0.7100494553569519,1.0
Abde Ezzalzouli,2021-2022,LaLiga,Barcelona,ATT,20.5,580,8000000.0,3927780.5736249182,-4072219.4263750818,-0.7113670148597446,1.0
Florian Wirtz,2023-2024,Bundesliga,Leverkusen,MID,21.1,2372,130000000.0,63772441.68923933,-66227558.31076067,-0.7122133018659653,1.0
Zinho Vanheusden,2021-2022,Serie A,Genoa,DEF,22.9,989,8000000.0,3909813.7613211297,-4090186.2386788703,-0.7159518001926415,1.0
Gabriel Martinelli,2023-2024,Premier League,Arsenal,ATT,22.9,2019,70000000.0,34192223.37986508,-35807776.62013492,-0.7164970103906931,1.0
Joško Gvardiol,2021-2022,Bundesliga,RB Leipzig,DEF,20.4,2409,35000000.0,17093631.163543057,-17906368.836456943,-0.7166421139326822,1.0
Roger Ibanez,2020-2021,Serie A,Roma,DEF,22.5,2398,25000000.0,12202405.134564089,-12797594.865435911,-0.7172427503815726,1.0
Bryan Gil,2022-2023,LaLiga,Sevilla,ATT,22.3,918,15000000.0,7306146.491089623,-7693853.508910377,-0.7193342221376859,1.0
Myron Boadu,2020-2021,Eredivisie,AZ Alkmaar,ATT,20.3,2523,14000000.0,6818476.696368688,-7181523.303631312,-0.71942124101178,1.0
Dennis Geiger,2020-2021,Bundesliga,Hoffenheim,MID,23.0,658,10000000.0,4859154.051310922,-5140845.948689078,-0.721720733748727,1.0
Quentin Merlin,2023-2024,Ligue 1,Nantes,DEF,22.1,1283,10000000.0,4856796.5807307875,-5143203.4192692125,-0.722206012177093,1.0
Yankuba Minteh,2023-2024,Eredivisie,Feyenoord,ATT,19.9,1456,16000000.0,7754279.415772327,-8245720.584227673,-0.7243438485909834,1.0
Giorgio Scalvini,2022-2023,Serie A,Atalanta,DEF,19.5,2335,40000000.0,19157761.979859322,-20842238.020140678,-0.7361714952903746,1.0
Gustavo Assuncao,2020-2021,Liga Portugal,Famalicão,MID,21.1,1908,7000000.0,3351304.9747842415,-3648695.0252157585,-0.7365603343594671,1.0
Million Manhoef,2023-2024,Eredivisie,Vitesse,ATT,22.4,1459,3500000.0,1674389.2627776666,-1825610.7372223334,-0.7373144889453087,1.0
Darwin Núñez,2020-2021,Liga Portugal,Benfica,ATT,21.9,1791,20000000.0,9567363.244540056,-10432636.755459944,-0.737374629089139,1.0
Folarin Balogun,2023-2024,Ligue 1,Monaco,ATT,22.9,1692,30000000.0,14344976.438734218,-15655023.561265782,-0.7377975747025189,1.0
Owen Wijndal,2021-2022,Eredivisie,AZ Alkmaar,DEF,22.5,2683,12000000.0,5712756.331084968,-6287243.668915032,-0.7422050226120369,1.0
